"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob","actvsubs_int"
"9",44,59.99,-5,0.333333333,4,7.53,12,417,362,1.333333333,401,0,50.44,18.66666667,21.33333333,46,87,21,40.1,76,36,"AA","N","C","SOUTHWEST AREA","N","WCMB","U","G","1","149.9899902","2","2",1,"NEVLVS702",0.333333333,870,617.99,507.37,50.74,1053412,"0",0.875000000292969,"Mid-Aged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.251573353819354,3
"42",810.5,44.99,-0.5,8.666666667,5,266.3,11,3227,308,0.333333333,3218,12.6,47.98,200.6666667,252.3333333,811,804.7,301,321.8,778,324,"AA","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WCMB","M","U","1","149.9899902","1","1",1,"SEASPO509",8.333333333,8047,816.22,750.61,75.06,1083326,"0",0.79524438597031,"Senior",0.0154370145303962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.251722424671676,2
"62",351,29.99,31,7,1,71.19,12,731,370,3.333333333,730,45.2,81.8475,68.33333333,83.66666667,341,214.36,109,66.36,251,80,"AA","N","C","DC/MARYLAND/VIRGINIA AREA","R","WCMB","U","N","1","39.98999023","1","1",1,"APCWAS202",5.333333333,2358,616,556.02,50.55,1062172,"0",0.816733067656704,"None",0.0733766233766234,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.287586964722151,2
"82",25,39.99,-9,2,1,9.61,11,204,329,0,203,0,29.99,19.33333333,31.33333333,28,39.5,15,20.3,27,16,"GA","N","T","DC/MARYLAND/VIRGINIA AREA","N","WCMB","U","I","1","149.9899902","2","2",1,"APCFCH703",2,395,368.03,302.51,30.25,1089331,"0",0.617021276555002,"None",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.278036637914323,3
"94",237.75,19.99,-83.75,7.333333333,28,108.66,12,956,344,0,948,78.9,99.1375,110.6666667,129.3333333,266,177.82,106,86.18,167,74,"AA","N","T","NEW YORK CITY AREA","N","WCMB","U","U","1","29.98999023","1","1",1,"NYCNEW973",6.333333333,1956,891.16,835.82,75.98,1087909,"0",0.855670103571049,"Senior",0.0885362897796131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.354555138249845,2
"105",486,29.04,-174,8.666666667,20,106.09,11,1961,12,14.66666667,1942,23.625,85.48,150.6666667,194.3333333,544,360.9,283,194.2,433,238,"A","N","C","CENTRAL/SOUTH TEXAS AREA","R","WCMB","M","U","3","9.989997864","1","2",1,"SANSAN210",3.333333333,3609,504.79,403.83,40.38,1065811,"1",0.775300171831098,"Senior",0.0468016402860595,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.449822815682055,2
"131",1226,44.99,-651,12,51,702.27,11,2011,310,32,2011,35.9625,71.47,173.3333333,236.3333333,1443,889.1,265,201.1,1040,219,"BA","N","C","ATLANTIC SOUTH AREA","N","WCMB","U","S","1","199.9899902","1","2",1,"ATLATL678",10.66666667,8891,670.12,604.51,60.45,1082645,"0",0.733427362444771,"None",0.053665761356175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"High",0.257763737148129,2
"132",72.75,39.6675,30.25,3,3,24.43,10,390,316,0.333333333,389,0,31.6475,28,37.66666667,63,102.56,32,43.22,62,30,"AA","N","T","NEW YORK CITY AREA","N","WCMB","M","U","1","29.98999023","1","1",1,"NYCBRO917",3,923,349.79,289.81,32.2,1070563,"0",0.743362831792623,"Senior",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.24475634717914,2
"171",214.25,29.99,-106.25,6.333333333,14,43.08,11,2244,338,0,2240,0,36.185,88.66666667,127.6666667,250,347.2,149,224,261,167,"ZA","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WC","U","U","1","29.98999023","1","1",1,"DENDEN303",5,3472,555.5,495.52,49.55,1056691,"0",0.694516971124147,"None",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.303164034594176,2
"203",270.75,94.99,28.25,5,19,57.35,11,827,305,14,824,0,85.2375,56.33333333,76.33333333,261,310.44,80,91.56,266,81,"AA","N","C","HOUSTON AREA","N","WCMB","B","I","1","129.9899902","2","2",1,"HOUHOU281",2,2794,895.21,788.88,87.65,1084426,"0",0.737991266364104,"Young",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"Medium",0.264714231423854,3
"220",69,59.99,63,5.666666667,0,61.49,11,156,326,0,156,0,50.8675,10,19.66666667,48,91.4,12,15.6,79,15,"AA","N","C","OHIO AREA","N","WCMB","U","N","2","59.98999023","1","1",1,"OHIBER440",1,914,620.49,540.51,54.05,1057991,"0",0.508474576185004,"None",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.261640481574241,2
"266",1364.75,53.6975,-240.75,38.33333333,81,727.64,10,3039,35,14.33333333,3029,76,124.7275,282.3333333,394.3333333,1445,873.78,443,336.56,1003,358,"B","N","C","DC/MARYLAND/VIRGINIA AREA","R","WCMB","B","S","3","129.9899902","2","2",1,"APCBAL410",33.66666667,7864,786.75,699.88,77.76,1088079,"1",0.715976331336938,"Senior",0.0965999364474102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"High",0.513421971086605,3
"298",339,39.99,0,7,14,5.97,12,801,368,0,779,19.775,49.765,67,76.66666667,339,199.91,100,70.82,245,78,"EA","N","C","CHICAGO AREA","N","WCMB","U","H","1","129.9899902","1","1",1,"CHICHI773",2.333333333,2199,473.2,413.22,37.57,1062419,"0",0.873913043440265,"None",0.0417899408284024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.235832524549688,2
"470",30.5,10,-30.5,0.666666667,3,0.98,10,192,53,0,192,5.55,15.7975,2.333333333,6.333333333,41,40.89,22,21.33,33,16,"AA","N","C","ATLANTIC SOUTH AREA","R","WCMB","U","N","2","9.989997864","3","3",1,"AIRSAV912",0.333333333,368,158.13,118.14,13.13,1071508,"1",0.368421052598338,"Young",0.0350977044204136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Low",0.56811081051252,4
"515",122.75,10,-122.75,4,9,84.74,10,850,302,3.333333333,838,0,19.7375,28.66666667,39.66666667,164,273.33,78,93.11,353,125,"AA","N","T","CALIFORNIA NORTH AREA","N","WCMB","U","N","1","149.9899902","3","6",1,"SFRPLA530",2.666666667,2460,217.72,177.73,19.75,1063144,"0",0.722689075653556,"None",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Low",0.260780956572702,4
