"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob","actvsubs_int"
"58",108.5,29.99,71.5,14,12,49.3,23,977,703,1.333333333,928,0,30.2375,43,65.66666667,85,90.29,37,44.19,66,31,"AA","N","C","NEW YORK CITY AREA","N","WC","U","U","2","29.98999023","3","3",1,"NYCCIT914",2,1896,944.89,852.95,40.62,1022632,"0",0.654822334992141,"Senior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.356024742467864,4
"61",105.75,10,274.25,1.666666667,0,0.37,20,452,600,0,452,0,19.595,3,4.666666667,14,73.05,4,23.79,115,31,"AA","N","C","PHILADELPHIA AREA","R","WC","M","N","1","9.989997864","3","3",1,"PHIMER609",0,1388,272.98,232.99,12.26,1045687,"0",0.642857142811224,"Senior",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.312573989148786,4
"109",658.25,10,9.75,12.66666667,2,23.72,18,2694,333,17.33333333,2693,0,11.2375,83,142.6666667,655,465,187,158.41,714,225,"BA","N","T","SOUTHWEST AREA","N","WCMB","U","N","2","79.98999023","5","7",1,"NEVPOW619",11.33333333,7905,942.78,892.79,52.52,1052286,"0",0.58177570079865,"None",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.246178094914207,6
"372",254.75,43.1575,-75.75,9,18,46.69,31,1995,939,2.333333333,1968,11.9,95.8075,84.33333333,103,280,229.5,120,98.4,269,117,"A","N","C","NEW YORK CITY AREA","N","WC","U","H","1","29.98999023","3","3",1,"NYCBRO917",9,4590,1612.48,1530.15,76.51,1013784,"0",0.818770226504854,"Senior",0.00737993649533638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.368758131224408,4
"412",1558.75,59.99,-612.75,55,71,585.75,13,5164,384,40.66666667,4913,7.1,44.5925,195,285.6666667,1763,1388.91,533,446.64,1704,529,"BA","N","C","CHICAGO AREA","N","WCMB","U","N","1","79.98999023","3","3",1,"MILRAC414",52.33333333,15278,773.68,668.1,60.74,1067440,"0",0.682613768881842,"Young",0.00917692069072485,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Very High",0.35942780597794,4
"413",186.25,29.99,19.75,13,1,14.45,14,1286,145,10.66666667,1209,0.0975,32.06,71,105,180,190.25,106,100.75,226,110,"BA","N","C","DC/MARYLAND/VIRGINIA AREA","R","WCMB","U","R","2","29.98999023","3","4",1,"APCSIL301",9.666666667,2283,467.77,405.94,33.83,1073462,"0",0.676190476190476,"Senior",0.000208435769715886,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Low",0.278054479171805,4
"451",319,10,-284,2.333333333,13,303.08,17,2379,483,5,2347,0.9,17.035,108.6666667,128.6666667,414,534.67,128,156.47,446,147,"A","N","C","GREAT LAKES AREA","N","WCMB","M","G","1","59.98999023","3","3",1,"NNYBUF716",2.333333333,8020,409.17,212.08,14.14,1060588,"1",0.844559585532497,"Senior",0.00219957474888188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.465166263546648,4
"470",30.5,10,-30.5,0.666666667,3,0.98,10,192,53,0,192,5.55,15.7975,2.333333333,6.333333333,41,40.89,22,21.33,33,16,"AA","N","C","ATLANTIC SOUTH AREA","R","WCMB","U","N","2","9.989997864","3","3",1,"AIRSAV912",0.333333333,368,158.13,118.14,13.13,1071508,"1",0.368421052598338,"Young",0.0350977044204136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Low",0.56811081051252,4
"515",122.75,10,-122.75,4,9,84.74,10,850,302,3.333333333,838,0,19.7375,28.66666667,39.66666667,164,273.33,78,93.11,353,125,"AA","N","T","CALIFORNIA NORTH AREA","N","WCMB","U","N","1","149.9899902","3","6",1,"SFRPLA530",2.666666667,2460,217.72,177.73,19.75,1063144,"0",0.722689075653556,"None",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Low",0.260780956572702,4
"704",9.25,10,-9.25,0.333333333,7,4.89,14,4439,399,0.333333333,4439,0,10.1125,12,12.33333333,12,827.92,8,341.46,237,133,"AA","N","C","NEW YORK CITY AREA","N","WCMB","U","U","1","129.9899902","3","3",1,"NYCMAN917",0.333333333,10763,1256.85,1176.87,90.53,1065160,"0",0.972972973235939,"Mid-Aged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,"Low",0.253894077618123,4
"970",624.25,50,-154.25,4.666666667,14,37.4,19,3717,592,18.33333333,3603,10.95,61.9125,93,116.6666667,676,502.28,330,200.17,554,256,"A","N","T","SOUTH FLORIDA AREA","N","WC","U","U","1","29.98999023","3","3",1,"MIAWPB561",3,9041,1144.95,1059.95,58.89,1027008,"0",0.797142856915102,"None",0.00956373640770339,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"High",0.326028734759162,4
"1233",563.5,39.98,153.5,11,30,88.29,17,2714,518,13.33333333,2632,120.4875,158.35,155.3333333,205.6666667,512,487.73,199,175.47,419,161,"A","N","C","MIDWEST AREA","N","WCMB","U","S","1","149.9899902","3","5",1,"KCYKCK913",7,7316,2180.45,2081.59,138.77,1043149,"0",0.755267422730103,"None",0.0552580889265977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Medium",0.378618273887619,4
"1274",182.25,10,-47.25,3,10,31.3,13,904,394,1,903,1.5,11.6125,61.33333333,79,198,237.33,63,75.25,218,55,"AA","N","T","OHIO AREA","R","WC","M","I","1","9.989997864","3","3",1,"OHICAN330",2.666666667,2848,273.3,233.31,19.44,1049631,"0",0.776371307974684,"Senior",0.00548847420417124,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.318765231998035,4
"1307",1066.25,99.99,-1066.25,7.666666667,113,530.41,19,15670,286,6.666666667,15620,98.8125,210.1475,176,212,1422,2124.44,568,867.78,2219,816,"AA","N","C","CENTRAL/SOUTH TEXAS AREA","R","WCMB","U","N","2","99.98999023","3","6",1,"SANCRP512",1.666666667,38240,6408.23,6341.63,352.31,1028257,"0",0.830188679245283,"None",0.0154196244516817,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"High",0.475489159439022,4
"1329",1038.5,50,231.5,10,55,24.7,49,33561,860,78,33547,31.65,84.1625,281.3333333,346.3333333,961,1120.58,563,698.9,861,512,"A","N","T","NORTHWEST/ROCKY MOUNTAIN AREA","R","WC","U","N","2","9.989997864","3","3",1,"SEAPOR503",8.333333333,53788.02,4206.36,4149.91,86.46,1000555,"0",0.812319537999261,"None",0.00752432031495164,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"High",0.437388420577428,4
"1534",568.5,59.99,110.5,3.666666667,5,79.66,19,2909,589,41,2879,1.575,49.065,121.3333333,150,532,413.78,208,159.94,587,197,"A","N","C","CENTRAL/SOUTH TEXAS AREA","N","WCMB","U","G","1","149.9899902","4","4",1,"SANSAN210",1.333333333,7448,985.02,930.42,51.69,1036225,"0",0.808888888666667,"Senior",0.00159895230553694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Medium",0.239668872433222,5
"1677",273,50,-47,2,3,83.39,27,1654,818,0.666666667,1622,0,54.51,26.33333333,36,289,329.35,35,62.38,278,42,"A","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WC","U","U","1","29.98999023","3","3",1,"SEAPOR503",2,8563,1543.42,1464.56,56.33,1017304,"0",0.731481481388889,"None",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.367501905398208,4
"1695",1534.75,35.99,-145.75,22,53,157.48,36,9792,607,12,9701,43.875,79.865,305.3333333,412.3333333,1583,840.25,453,303.16,1367,408,"A","N","C","CALIFORNIA NORTH AREA","N","WCMB","U","H","2","79.98999023","3","3",1,"SFRSRO707",20.33333333,26888,2115.54,2053.72,64.18,1005361,"0",0.740501212590178,"Senior",0.0207393856887603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Very High",0.299633644061013,4
"1712",239.25,49.99,-5.25,5.333333333,3,31.5,14,1940,429,4.666666667,1821,0,54.3675,62.66666667,104.6666667,241,648.5,85,151.75,256,77,"BA","N","T","CENTRAL/SOUTH TEXAS AREA","N","WC","U","U","1","29.98999023","3","4",1,"SANGEO512",1,7782,1207.87,1072.47,89.37,1045977,"0",0.598726114490852,"None",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Low",0.317732480506158,4
"1733",163.75,44.99,-107.75,5,8,23.03,13,1229,371,1.333333333,1225,0.0975,35.0875,119.6666667,157.3333333,200,155.08,142,102.08,178,128,"BA","N","T","NEW ENGLAND AREA","N","WCMB","M","F","1","99.98999023","3","3",1,"BOSMAN603",4.333333333,1861,461.42,425.8,35.48,1082598,"0",0.76059322071199,"Senior",0.000211304234753587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.286457654853473,4
"1790",155,32.49,64,6.666666667,8,71.08,24,1787,736,2,1713,0,51.95,25,36.66666667,134,205.17,44,74.48,143,51,"A","N","T","OHIO AREA","N","WC","M","N","1","29.98999023","4","9",1,"OHIAKR330",0,4719,890.52,858.87,37.34,1015617,"0",0.681818181756198,"Senior",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Low",0.270466882928313,5
"1830",332,14.7575,36,6,38,15.4,25,4757,591,5.333333333,4757,0,15.99,104.3333333,141.3333333,320,460.46,165,198.21,338,159,"BA","N","C","DC/MARYLAND/VIRGINIA AREA","N","WCMB","U","H","2","199.9899902","3","3",1,"APCFCH703",5.333333333,11051,1715.14,1663.47,69.31,1030896,"0",0.738207547108068,"None",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"Medium",0.279963126027559,4
"1930",559.5,20,-118.5,8,14,22.66,11,1744,299,0,1666,18.75,40.415,150.3333333,183.3333333,599,449.78,241,185.11,522,211,"A","N","C","SOUTHWEST AREA","R","WC","M","H","2","9.989997864","3","3",1,"NEVSDG619",7.666666667,4048,415.78,369.64,41.07,1058819,"0",0.819999999967273,"Senior",0.0450959642118428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Medium",0.378830207811839,4
"1940",240.5,10,-64.5,11,30,123.35,11,1012,183,2,975,26.4675,42.61,93.66666667,138.6666667,262,183.78,138,108.33,221,127,"A","N","C","GREAT LAKES AREA","N","WCMB","M","Z","1","149.9899902","3","3",1,"DETPON248",5.333333333,1654,299.67,232.24,25.8,1057926,"0",0.675480769092432,"Senior",0.0883221543698068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.243082598720687,4
"2023",183,30,-85,2.333333333,8,25.1,18,1501,536,1.666666667,1426,0,30.2625,84,116.6666667,211,161.69,131,89.13,123,78,"AA","N","C","NEW YORK CITY AREA","N","WC","M","J","1","9.989997864","4","4",1,"NYCBRO917",2.333333333,2587,559.56,485.05,30.32,1041235,"0",0.719999999794286,"Young",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"Low",0.35565086859809,5
