"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob"
"4201",1505.75,56.365,127.25,27.66666667,44,283.3,7,1683,201,6.666666667,1666,187.3,247.73,316.6666667,418.3333333,1463,869.33,461,277.67,869,278,"BA","N","T","DC/MARYLAND/VIRGINIA AREA","N","WCMB","U","S","1","149.9899902","1","1",1,"APCSVP443",25.33333333,5216,919.63,850.02,141.67,1082982,"0",0.756972111693783,"None",0.203668866826876,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.377862632078061
"6766",1056.25,10,83.75,67,27,371.3,7,1564,134,36.33333333,1446,73.775,89.9775,200.3333333,291.6666667,1028,823.4,339,289.2,1688.485,610.5087,"G","N","C","DC/MARYLAND/VIRGINIA AREA","N","WCMB","S","R","2","149.9899902","2","2",1,"NCRRIC804",2.666666667,4117,323.18,273.3,54.66,1080102,"0",0.686857142664359,"Young",0.228278358809332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"High",0.443131205451573
"10595",769.25,10,451.75,4.666666667,58,28.01,14,2916,423,29.33333333,2755,75.375,51.6025,216,253.6666667,619,414,313,229.58,481,255,"A","N","C","SOUTHWEST AREA","N","WCMB","M","S","1","59.98999023","3","3",1,"NMXLUB806",1,4968,169.05,153.57,12.8,1046555,"0",0.851511169401904,"Senior",0.445874001774623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"High",0.59875589269043
"12886",1414.25,39.99,1137.75,33.33333333,55,652.68,12,3158,360,2.666666667,3157,207.435,244.905,420,597.3333333,1035,615.09,517,287,760,362,"AA","N","T","NEW ENGLAND AREA","N","WCMB","A","N","1","149.9899902","1","1",1,"HARWAT203",30,6766,817.16,753.18,68.47,1063853,"0",0.703125000039237,"Senior",0.253848695481913,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.49929411843239
"24354",467,59.98,0,5.666666667,3,18.71,25,263,28,0.333333333,253,65.2,160.17,19.33333333,34.33333333,464,464,84,84.33,1688.485,610.5087,"C","Y","C","CENTRAL/SOUTH TEXAS AREA","N","WC","U","H","1","29.98999023","1","1",0,"SANCRP512",2.666666667,1392,150.2,103.94,34.65,1017503,"0",0.563106796074088,"Senior",0.434087882822903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.373929348182929
"32290",1088.666667,71.88,463.3333333,31.33333333,112,591.74,18,804,40,19,804,127.4,149.34,350.6666667,563,571,571.33,268,268,1688.485,610.5087,"EA","Y","C","CALIFORNIA NORTH AREA","N","WCMB","U","B","5","149.9899902","1","1",0,"SFRSFS650",28.66666667,1714,172.55,141.59,47.2,1033209,"0",0.622853759680284,"None",0.738336713995943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.814216734775256
"47341",1241.25,39.99,199.75,13.33333333,4,264.89,10,3302,289,3.666666667,3300,89.425,121.9325,274.6666667,390.3333333,1175,911.13,471,412.5,1004,449,"CA","Y","C","NEW YORK CITY AREA","N","WCMB","U","H","1","149.9899902","1","1",0,"NYCNEW732",12.66666667,7289,430.35,430.35,53.79,1065436,"0",0.703672075294934,"None",0.207795980016266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.292425524361836
"49780",855.25,43.38,665.75,6,68,466.57,10,1925,315,3.666666667,1894,142.1875,170.8825,314.3333333,403.6666667,633,463.56,277,210.44,535,236,"BA","N","T","NORTHWEST/ROCKY MOUNTAIN AREA","N","WCMB","S","N","1","149.9899902","1","1",0,"SEWHDR541",5,4172,647.36,587.38,65.26,1070806,"0",0.778695292999282,"Senior",0.219642084775087,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"High",0.464369187906328
"51512",1474.5,10,453.5,10.33333333,74,463.65,12,4027,341,18,3636,41.0625,60.97,304,351,1323,1123.4,406,363.6,1036,325,"BA","N","C","CENTRAL/SOUTH TEXAS AREA","N","WCMB","U","U","1","129.9899902","3","3",0,"SANAUS512",3.666666667,11234,184.43,184.43,18.44,1074347,"0",0.866096866096866,"None",0.222645448137505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,"High",0.341921285296982
"53245",2798,44.99,785,57.33333333,33,337.54,7,3208,36,28,3208,426.7375,471.04,567.6666667,948,2536,1795.83,714,534.67,1796,535,"AA","N","C","CALIFORNIA NORTH AREA","N","WCMB","S","J","2","129.9899902","1","1",0,"SFRSMO650",54,10775,1502.19,1436.58,239.43,1077817,"0",0.598804500738397,"None",0.284076914371684,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Very High",0.464700959042409
