"","mou_Mean","totmrc_Mean","change_mou","drop_blk_Mean","owylis_vce_Range","mou_opkv_Range","months","totcalls","eqpdays","iwylis_vce_Mean","adjqty","ovrrev_Mean","rev_Mean","comp_vce_Mean","plcd_vce_Mean","avg3mou","avgmou","avg3qty","avgqty","avg6mou","avg6qty","crclscod","asl_flag","prizm_social_one","area","refurb_new","hnd_webcap","marital","ethnic","models","hnd_price","actvsubs","uniqsubs","churn","csa","drop_vce_Mean","adjmou","totrev","adjrev","avgrev","Customer_ID","retdays_dummy","compl_vce_percentage","age1_dummy","optimum","asl_flag_Y","prizm_social_one_R","prizm_social_one_T","area_DC_MARYLAND_VIRGINIA","area_MIDWEST","area_NORTHWEST_ROCKYMOUNTAIN","area_OHIO","area_SOUTH_FLORIDA","area_TENNESSEE","refurb_new_R","marital_S","ethnic_C","ethnic_N","ethnic_P","ethnic_S","ethnic_U","ethnic_Z","models_2","models_3","models_4","models_5","models_8","hnd_price129.9899902","hnd_price199.9899902","hnd_price249.9899902","hnd_price299.9899902","uniqsubs_2","uniqsubs_3","uniqsubs_4","uniqsubs_5","uniqsubs_6","uniqsubs_9","age1_dummy_Young","result","mou_Mean_catg","prob","actvsubs_int"
"11",1014.5,59.99,-171.5,17,27,26.89,17,5517,488,16,5517,42.3525,113.135,306.3333333,412.6666667,1072,922,403,367.8,1012,388,"ZA","N","T","SOUTH FLORIDA AREA","N","WCMB","U","U","1","129.9899902","1","1",1,"MIAMIA305",7.333333333,13830,1289.25,1209.27,80.62,1060288,"0",0.742326332654093,"Young",0.0328504944735311,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"High",0.346452578109829,2
"13",313,29.99,40,7.666666667,39,21.66,23,2455,55,2,2447,28.575,65.635,88.66666667,106,300,261.91,153,111.23,241,123,"BA","N","T","DALLAS AREA","N","WCMB","U","J","3","149.9899902","1","1",1,"DALDAL214",4,5762,1361.43,1320.44,60.02,1027697,"1",0.83647798745283,"None",0.0209889601375025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Medium",0.333579659259102,2
"58",108.5,29.99,71.5,14,12,49.3,23,977,703,1.333333333,928,0,30.2375,43,65.66666667,85,90.29,37,44.19,66,31,"AA","N","C","NEW YORK CITY AREA","N","WC","U","U","2","29.98999023","3","3",1,"NYCCIT914",2,1896,944.89,852.95,40.62,1022632,"0",0.654822334992141,"Senior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.356024742467864,4
"61",105.75,10,274.25,1.666666667,0,0.37,20,452,600,0,452,0,19.595,3,4.666666667,14,73.05,4,23.79,115,31,"AA","N","C","PHILADELPHIA AREA","R","WC","M","N","1","9.989997864","3","3",1,"PHIMER609",0,1388,272.98,232.99,12.26,1045687,"0",0.642857142811224,"Senior",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.312573989148786,4
"79",289.25,24.99,-52.25,8,7,60.23,29,2633,891,9,2557,13.7825,42.2975,48.66666667,57.33333333,307,208.96,151,91.32,272,131,"A","N","C","CHICAGO AREA","N","WC","U","O","1","29.98999023","1","1",1,"CHICHI773",1.666666667,5851,1102.05,1060.63,37.88,1009195,"0",0.848837209409816,"Young",0.0125062383739395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Medium",0.352072365438224,2
"94",237.75,19.99,-83.75,7.333333333,28,108.66,12,956,344,0,948,78.9,99.1375,110.6666667,129.3333333,266,177.82,106,86.18,167,74,"AA","N","T","NEW YORK CITY AREA","N","WCMB","U","U","1","29.98999023","1","1",1,"NYCNEW973",6.333333333,1956,891.16,835.82,75.98,1087909,"0",0.855670103571049,"Senior",0.0885362897796131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Low",0.354555138249845,2
"98",26.5,19.99,-7.5,1,0,3.42,36,9297,660,0,9222,2.6325,20.2675,5.666666667,7.666666667,29,684.59,16,318,20,13,"A","N","T","MIDWEST AREA","R","WC","A","S","3","9.989997864","1","2",1,"OMAOMA402",0.333333333,19853,1661.27,1597.19,55.08,1003057,"0",0.739130434793951,"Mid-Aged",0.00158463103529228,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Low",0.359656945211897,2
"102",129.5,33.6175,-129.5,0,10,0,40,9859,869,0,9543,13.475,23.595,9.333333333,12,173,478.19,85,257.92,221,100,"A","N","C","NORTHWEST/ROCKY MOUNTAIN AREA","N","WC","A","N","1","29.98999023","1","3",1,"SEASEA206",0,17693,3963.32,3761.69,101.67,1004170,"0",0.77777777775,"Senior",0.00339992733364957,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Low",0.337341351600051,2
"105",486,29.04,-174,8.666666667,20,106.09,11,1961,12,14.66666667,1942,23.625,85.48,150.6666667,194.3333333,544,360.9,283,194.2,433,238,"A","N","C","CENTRAL/SOUTH TEXAS AREA","R","WCMB","M","U","3","9.989997864","1","2",1,"SANSAN210",3.333333333,3609,504.79,403.83,40.38,1065811,"1",0.775300171831098,"Senior",0.0468016402860595,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.449822815682055,2
"112",346.5,32.49,28.5,10,27,34.22,34,5221,950,22,5118,6.8125,49.35,130.6666667,186.3333333,337,274.52,197,155.09,289,170,"A","N","C","NEW YORK CITY AREA","N","WC","U","O","1","29.98999023","2","2",1,"NYCMAN917",7.333333333,9059,1383.27,1321.49,40.05,1008110,"0",0.701252236440296,"None",0.00492492427364144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Medium",0.348245466231173,3
